nnm_id,month_end,nnm_amount
NNM_A001_PER202408,2024-08-31,-4000.0
NNM_A002_PER202408,2024-08-31,8000.0
NNM_A003_PER202408,2024-08-31,20000.0
NNM_A004_PER202408,2024-08-31,32000.0
NNM_A005_PER202408,2024-08-31,44000.0
NNM_A006_PER202408,2024-08-31,56000.0
NNM_A007_PER202408,2024-08-31,-16000.0
NNM_A008_PER202408,2024-08-31,-4000.0
NNM_A009_PER202408,2024-08-31,8000.0
NNM_A010_PER202408,2024-08-31,20000.0
NNM_A011_PER202408,2024-08-31,12000.0
NNM_A012_PER202408,2024-08-31,24000.0
NNM_A013_PER202408,2024-08-31,36000.0
NNM_A014_PER202408,2024-08-31,-36000.0
NNM_A015_PER202408,2024-08-31,-24000.0
NNM_A016_PER202408,2024-08-31,-12000.0
NNM_A017_PER202408,2024-08-31,0.0
NNM_A018_PER202408,2024-08-31,12000.0
NNM_A019_PER202408,2024-08-31,24000.0
NNM_A020_PER202408,2024-08-31,36000.0
NNM_A021_PER202408,2024-08-31,-36000.0
NNM_A022_PER202408,2024-08-31,-24000.0
NNM_A023_PER202408,2024-08-31,-12000.0
NNM_A024_PER202408,2024-08-31,0.0
NNM_A025_PER202408,2024-08-31,12000.0
NNM_A026_PER202408,2024-08-31,24000.0
NNM_A027_PER202408,2024-08-31,36000.0
NNM_A028_PER202408,2024-08-31,-36000.0
NNM_A029_PER202408,2024-08-31,-24000.0
NNM_A030_PER202408,2024-08-31,-12000.0
NNM_A031_PER202408,2024-08-31,0.0
NNM_A032_PER202408,2024-08-31,12000.0
NNM_A033_PER202408,2024-08-31,24000.0
NNM_A034_PER202408,2024-08-31,36000.0
NNM_A035_PER202408,2024-08-31,-36000.0
NNM_A036_PER202408,2024-08-31,-24000.0
NNM_A037_PER202408,2024-08-31,-12000.0
NNM_A038_PER202408,2024-08-31,0.0
NNM_A039_PER202408,2024-08-31,12000.0
NNM_A040_PER202408,2024-08-31,24000.0
NNM_A041_PER202408,2024-08-31,36000.0
NNM_A042_PER202408,2024-08-31,-36000.0
NNM_A043_PER202408,2024-08-31,-24000.0
NNM_A044_PER202408,2024-08-31,-12000.0
NNM_A045_PER202408,2024-08-31,0.0
NNM_A046_PER202408,2024-08-31,12000.0
NNM_A047_PER202408,2024-08-31,24000.0
NNM_A048_PER202408,2024-08-31,36000.0
NNM_A049_PER202408,2024-08-31,-36000.0
NNM_A050_PER202408,2024-08-31,-24000.0
NNM_A051_PER202408,2024-08-31,-21600.0
NNM_A052_PER202408,2024-08-31,-9600.0
NNM_A053_PER202408,2024-08-31,2400.0
NNM_A054_PER202408,2024-08-31,14400.0
NNM_A055_PER202408,2024-08-31,26400.0
NNM_A056_PER202408,2024-08-31,-45600.0
NNM_A057_PER202408,2024-08-31,-33600.0
NNM_A058_PER202408,2024-08-31,-21600.0
NNM_A059_PER202408,2024-08-31,-9600.0
NNM_A060_PER202408,2024-08-31,2400.0
NNM_A001_PER202409,2024-09-30,-2560.0
NNM_A002_PER202409,2024-09-30,9440.0
NNM_A003_PER202409,2024-09-30,21440.0
NNM_A004_PER202409,2024-09-30,33440.0
NNM_A005_PER202409,2024-09-30,45440.0
NNM_A006_PER202409,2024-09-30,57440.0
NNM_A007_PER202409,2024-09-30,-14560.0
NNM_A008_PER202409,2024-09-30,-2560.0
NNM_A009_PER202409,2024-09-30,9440.0
NNM_A010_PER202409,2024-09-30,21440.0
NNM_A011_PER202409,2024-09-30,13440.0
NNM_A012_PER202409,2024-09-30,25440.0
NNM_A013_PER202409,2024-09-30,37440.0
NNM_A014_PER202409,2024-09-30,-34560.0
NNM_A015_PER202409,2024-09-30,-22560.0
NNM_A016_PER202409,2024-09-30,-10560.0
NNM_A017_PER202409,2024-09-30,1440.0
NNM_A018_PER202409,2024-09-30,13440.0
NNM_A019_PER202409,2024-09-30,25440.0
NNM_A020_PER202409,2024-09-30,37440.0
NNM_A021_PER202409,2024-09-30,-34560.0
NNM_A022_PER202409,2024-09-30,-22560.0
NNM_A023_PER202409,2024-09-30,-10560.0
NNM_A024_PER202409,2024-09-30,1440.0
NNM_A025_PER202409,2024-09-30,13440.0
NNM_A026_PER202409,2024-09-30,25440.0
NNM_A027_PER202409,2024-09-30,37440.0
NNM_A028_PER202409,2024-09-30,-34560.0
NNM_A029_PER202409,2024-09-30,-22560.0
NNM_A030_PER202409,2024-09-30,-10560.0
NNM_A031_PER202409,2024-09-30,1440.0
NNM_A032_PER202409,2024-09-30,13440.0
NNM_A033_PER202409,2024-09-30,25440.0
NNM_A034_PER202409,2024-09-30,37440.0
NNM_A035_PER202409,2024-09-30,-34560.0
NNM_A036_PER202409,2024-09-30,-22560.0
NNM_A037_PER202409,2024-09-30,-10560.0
NNM_A038_PER202409,2024-09-30,1440.0
NNM_A039_PER202409,2024-09-30,13440.0
NNM_A040_PER202409,2024-09-30,25440.0
NNM_A041_PER202409,2024-09-30,37440.0
NNM_A042_PER202409,2024-09-30,-34560.0
NNM_A043_PER202409,2024-09-30,-22560.0
NNM_A044_PER202409,2024-09-30,-10560.0
NNM_A045_PER202409,2024-09-30,1440.0
NNM_A046_PER202409,2024-09-30,13440.0
NNM_A047_PER202409,2024-09-30,25440.0
NNM_A048_PER202409,2024-09-30,37440.0
NNM_A049_PER202409,2024-09-30,-34560.0
NNM_A050_PER202409,2024-09-30,-22560.0
NNM_A051_PER202409,2024-09-30,-20160.0
NNM_A052_PER202409,2024-09-30,-8160.0
NNM_A053_PER202409,2024-09-30,3840.0
NNM_A054_PER202409,2024-09-30,15840.0
NNM_A055_PER202409,2024-09-30,27840.0
NNM_A056_PER202409,2024-09-30,-44160.0
NNM_A057_PER202409,2024-09-30,-32160.0
NNM_A058_PER202409,2024-09-30,-20160.0
NNM_A059_PER202409,2024-09-30,-8160.0
NNM_A060_PER202409,2024-09-30,3840.0
NNM_A001_PER202410,2024-10-31,-1120.0
NNM_A002_PER202410,2024-10-31,10880.0
NNM_A003_PER202410,2024-10-31,22880.0
NNM_A004_PER202410,2024-10-31,34880.0
NNM_A005_PER202410,2024-10-31,46880.0
NNM_A006_PER202410,2024-10-31,58880.0
NNM_A007_PER202410,2024-10-31,-13120.0
NNM_A008_PER202410,2024-10-31,-1120.0
NNM_A009_PER202410,2024-10-31,10880.0
NNM_A010_PER202410,2024-10-31,22880.0
NNM_A011_PER202410,2024-10-31,14880.0
NNM_A012_PER202410,2024-10-31,26880.0
NNM_A013_PER202410,2024-10-31,38880.0
NNM_A014_PER202410,2024-10-31,-33120.0
NNM_A015_PER202410,2024-10-31,-21120.0
NNM_A016_PER202410,2024-10-31,-9120.0
NNM_A017_PER202410,2024-10-31,2880.0
NNM_A018_PER202410,2024-10-31,14880.0
NNM_A019_PER202410,2024-10-31,26880.0
NNM_A020_PER202410,2024-10-31,38880.0
NNM_A021_PER202410,2024-10-31,-33120.0
NNM_A022_PER202410,2024-10-31,-21120.0
NNM_A023_PER202410,2024-10-31,-9120.0
NNM_A024_PER202410,2024-10-31,2880.0
NNM_A025_PER202410,2024-10-31,14880.0
NNM_A026_PER202410,2024-10-31,26880.0
NNM_A027_PER202410,2024-10-31,38880.0
NNM_A028_PER202410,2024-10-31,-33120.0
NNM_A029_PER202410,2024-10-31,-21120.0
NNM_A030_PER202410,2024-10-31,-9120.0
NNM_A031_PER202410,2024-10-31,2880.0
NNM_A032_PER202410,2024-10-31,14880.0
NNM_A033_PER202410,2024-10-31,26880.0
NNM_A034_PER202410,2024-10-31,38880.0
NNM_A035_PER202410,2024-10-31,-33120.0
NNM_A036_PER202410,2024-10-31,-21120.0
NNM_A037_PER202410,2024-10-31,-9120.0
NNM_A038_PER202410,2024-10-31,2880.0
NNM_A039_PER202410,2024-10-31,14880.0
NNM_A040_PER202410,2024-10-31,26880.0
NNM_A041_PER202410,2024-10-31,38880.0
NNM_A042_PER202410,2024-10-31,-33120.0
NNM_A043_PER202410,2024-10-31,-21120.0
NNM_A044_PER202410,2024-10-31,-9120.0
NNM_A045_PER202410,2024-10-31,2880.0
NNM_A046_PER202410,2024-10-31,14880.0
NNM_A047_PER202410,2024-10-31,26880.0
NNM_A048_PER202410,2024-10-31,38880.0
NNM_A049_PER202410,2024-10-31,-33120.0
NNM_A050_PER202410,2024-10-31,-21120.0
NNM_A051_PER202410,2024-10-31,-18720.0
NNM_A052_PER202410,2024-10-31,-6720.0
NNM_A053_PER202410,2024-10-31,5280.0
NNM_A054_PER202410,2024-10-31,17280.0
NNM_A055_PER202410,2024-10-31,29280.0
NNM_A056_PER202410,2024-10-31,-42720.0
NNM_A057_PER202410,2024-10-31,-30720.0
NNM_A058_PER202410,2024-10-31,-18720.0
NNM_A059_PER202410,2024-10-31,-6720.0
NNM_A060_PER202410,2024-10-31,5280.0
NNM_A001_PER202411,2024-11-30,320.0
NNM_A002_PER202411,2024-11-30,12320.0
NNM_A003_PER202411,2024-11-30,24320.0
NNM_A004_PER202411,2024-11-30,36320.0
NNM_A005_PER202411,2024-11-30,48320.0
NNM_A006_PER202411,2024-11-30,60320.0
NNM_A007_PER202411,2024-11-30,-11680.0
NNM_A008_PER202411,2024-11-30,320.0
NNM_A009_PER202411,2024-11-30,12320.0
NNM_A010_PER202411,2024-11-30,24320.0
NNM_A011_PER202411,2024-11-30,16320.0
NNM_A012_PER202411,2024-11-30,28320.0
NNM_A013_PER202411,2024-11-30,40320.0
NNM_A014_PER202411,2024-11-30,-31680.0
NNM_A015_PER202411,2024-11-30,-19680.0
NNM_A016_PER202411,2024-11-30,-7680.0
NNM_A017_PER202411,2024-11-30,4320.0
NNM_A018_PER202411,2024-11-30,16320.0
NNM_A019_PER202411,2024-11-30,28320.0
NNM_A020_PER202411,2024-11-30,40320.0
NNM_A021_PER202411,2024-11-30,-31680.0
NNM_A022_PER202411,2024-11-30,-19680.0
NNM_A023_PER202411,2024-11-30,-7680.0
NNM_A024_PER202411,2024-11-30,4320.0
NNM_A025_PER202411,2024-11-30,16320.0
NNM_A026_PER202411,2024-11-30,28320.0
NNM_A027_PER202411,2024-11-30,40320.0
NNM_A028_PER202411,2024-11-30,-31680.0
NNM_A029_PER202411,2024-11-30,-19680.0
NNM_A030_PER202411,2024-11-30,-7680.0
NNM_A031_PER202411,2024-11-30,4320.0
NNM_A032_PER202411,2024-11-30,16320.0
NNM_A033_PER202411,2024-11-30,28320.0
NNM_A034_PER202411,2024-11-30,40320.0
NNM_A035_PER202411,2024-11-30,-31680.0
NNM_A036_PER202411,2024-11-30,-19680.0
NNM_A037_PER202411,2024-11-30,-7680.0
NNM_A038_PER202411,2024-11-30,4320.0
NNM_A039_PER202411,2024-11-30,16320.0
NNM_A040_PER202411,2024-11-30,28320.0
NNM_A041_PER202411,2024-11-30,40320.0
NNM_A042_PER202411,2024-11-30,-31680.0
NNM_A043_PER202411,2024-11-30,-19680.0
NNM_A044_PER202411,2024-11-30,-7680.0
NNM_A045_PER202411,2024-11-30,4320.0
NNM_A046_PER202411,2024-11-30,16320.0
