from_id,to_id
TX0000001,PER202408
TX0000002,PER202408
TX0000003,PER202408
TX0000004,PER202408
TX0000005,PER202408
TX0000006,PER202408
TX0000007,PER202408
TX0000008,PER202408
TX0000009,PER202408
TX0000010,PER202408
TX0000011,PER202408
TX0000012,PER202408
TX0000013,PER202408
TX0000014,PER202408
TX0000015,PER202408
TX0000016,PER202408
TX0000017,PER202408
TX0000018,PER202408
TX0000019,PER202408
TX0000020,PER202408
TX0000021,PER202408
TX0000022,PER202408
TX0000023,PER202408
TX0000024,PER202408
TX0000025,PER202408
TX0000026,PER202408
TX0000027,PER202408
TX0000028,PER202408
TX0000029,PER202408
TX0000030,PER202408
TX0000031,PER202408
TX0000032,PER202408
TX0000033,PER202408
TX0000034,PER202408
TX0000035,PER202408
TX0000036,PER202408
TX0000037,PER202408
TX0000038,PER202408
TX0000039,PER202408
TX0000040,PER202408
TX0000041,PER202408
TX0000042,PER202408
TX0000043,PER202408
TX0000044,PER202408
TX0000045,PER202408
TX0000046,PER202408
TX0000047,PER202408
TX0000048,PER202408
TX0000049,PER202408
TX0000050,PER202408
TX0000051,PER202408
TX0000052,PER202408
TX0000053,PER202408
TX0000054,PER202408
TX0000055,PER202408
TX0000056,PER202408
TX0000057,PER202408
TX0000058,PER202408
TX0000059,PER202408
TX0000060,PER202408
TX0000061,PER202408
TX0000062,PER202408
TX0000063,PER202408
TX0000064,PER202408
TX0000065,PER202408
TX0000066,PER202408
TX0000067,PER202408
TX0000068,PER202408
TX0000069,PER202408
TX0000070,PER202408
TX0000071,PER202408
TX0000072,PER202408
TX0000073,PER202408
TX0000074,PER202408
TX0000075,PER202408
TX0000076,PER202408
TX0000077,PER202408
TX0000078,PER202408
TX0000079,PER202408
TX0000080,PER202408
TX0000081,PER202408
TX0000082,PER202408
TX0000083,PER202408
TX0000084,PER202408
TX0000085,PER202408
TX0000086,PER202408
TX0000087,PER202408
TX0000088,PER202408
TX0000089,PER202408
TX0000090,PER202408
TX0000091,PER202408
TX0000092,PER202408
TX0000093,PER202408
TX0000094,PER202408
TX0000095,PER202408
TX0000096,PER202408
TX0000097,PER202408
TX0000098,PER202408
TX0000099,PER202408
TX0000100,PER202408
TX0000101,PER202408
TX0000102,PER202408
TX0000103,PER202408
TX0000104,PER202408
TX0000105,PER202408
TX0000106,PER202408
TX0000107,PER202408
TX0000108,PER202408
TX0000109,PER202408
TX0000110,PER202408
TX0000111,PER202408
TX0000112,PER202408
TX0000113,PER202408
TX0000114,PER202408
TX0000115,PER202408
TX0000116,PER202408
TX0000117,PER202408
TX0000118,PER202408
TX0000119,PER202408
TX0000120,PER202408
TX0000121,PER202408
TX0000122,PER202408
TX0000123,PER202408
TX0000124,PER202408
TX0000125,PER202408
TX0000126,PER202408
TX0000127,PER202408
TX0000128,PER202408
TX0000129,PER202408
TX0000130,PER202408
TX0000131,PER202408
TX0000132,PER202408
TX0000133,PER202408
TX0000134,PER202408
TX0000135,PER202408
TX0000136,PER202408
TX0000137,PER202408
TX0000138,PER202408
TX0000139,PER202408
TX0000140,PER202408
TX0000141,PER202408
TX0000142,PER202408
TX0000143,PER202408
TX0000144,PER202408
TX0000145,PER202408
TX0000146,PER202408
TX0000147,PER202408
TX0000148,PER202408
TX0000149,PER202408
TX0000150,PER202408
TX0000151,PER202408
TX0000152,PER202408
TX0000153,PER202408
TX0000154,PER202408
TX0000155,PER202408
TX0000156,PER202408
TX0000157,PER202408
TX0000158,PER202408
TX0000159,PER202408
TX0000160,PER202408
TX0000161,PER202408
TX0000162,PER202408
TX0000163,PER202408
TX0000164,PER202408
TX0000165,PER202408
TX0000166,PER202408
TX0000167,PER202408
TX0000168,PER202408
TX0000169,PER202408
TX0000170,PER202408
TX0000171,PER202408
TX0000172,PER202408
TX0000173,PER202408
TX0000174,PER202408
TX0000175,PER202408
TX0000176,PER202408
TX0000177,PER202408
TX0000178,PER202408
TX0000179,PER202408
TX0000180,PER202408
TX0000181,PER202408
TX0000182,PER202408
TX0000183,PER202408
TX0000184,PER202408
TX0000185,PER202408
TX0000186,PER202408
TX0000187,PER202408
TX0000188,PER202408
TX0000189,PER202408
TX0000190,PER202408
TX0000191,PER202408
TX0000192,PER202408
TX0000193,PER202408
TX0000194,PER202408
TX0000195,PER202408
TX0000196,PER202408
TX0000197,PER202408
TX0000198,PER202408
TX0000199,PER202408
TX0000200,PER202408
TX0000201,PER202408
TX0000202,PER202408
TX0000203,PER202408
TX0000204,PER202408
TX0000205,PER202408
TX0000206,PER202408
TX0000207,PER202408
TX0000208,PER202408
TX0000209,PER202408
TX0000210,PER202408
TX0000211,PER202408
TX0000212,PER202408
TX0000213,PER202408
TX0000214,PER202408
TX0000215,PER202408
TX0000216,PER202408
TX0000217,PER202408
TX0000218,PER202408
TX0000219,PER202408
TX0000220,PER202408
TX0000221,PER202408
TX0000222,PER202408
TX0000223,PER202408
TX0000224,PER202408
TX0000225,PER202408
TX0000226,PER202408
TX0000227,PER202408
TX0000228,PER202408
TX0000229,PER202408
TX0000230,PER202408
TX0000231,PER202408
TX0000232,PER202408
TX0000233,PER202408
TX0000234,PER202408
TX0000235,PER202408
TX0000236,PER202408
TX0000237,PER202408
TX0000238,PER202408
TX0000239,PER202408
TX0000240,PER202408
TX0000241,PER202408
TX0000242,PER202408
TX0000243,PER202408
TX0000244,PER202408
TX0000245,PER202408
TX0000246,PER202408
TX0000247,PER202408
TX0000248,PER202408
TX0000249,PER202408
TX0000250,PER202408
TX0000251,PER202408
TX0000252,PER202408
TX0000253,PER202408
TX0000254,PER202408
TX0000255,PER202408
TX0000256,PER202408
TX0000257,PER202408
TX0000258,PER202408
TX0000259,PER202408
TX0000260,PER202408
TX0000261,PER202408
TX0000262,PER202408
TX0000263,PER202408
TX0000264,PER202408
TX0000265,PER202408
TX0000266,PER202408
TX0000267,PER202408
TX0000268,PER202408
TX0000269,PER202408
TX0000270,PER202408
TX0000271,PER202408
TX0000272,PER202408
TX0000273,PER202408
TX0000274,PER202408
TX0000275,PER202408
TX0000276,PER202408
TX0000277,PER202408
TX0000278,PER202408
TX0000279,PER202408
TX0000280,PER202408
TX0000281,PER202408
TX0000282,PER202408
TX0000283,PER202408
TX0000284,PER202408
TX0000285,PER202408
TX0000286,PER202408
TX0000287,PER202408
TX0000288,PER202408
TX0000289,PER202408
TX0000290,PER202408
TX0000291,PER202408
TX0000292,PER202408
TX0000293,PER202408
TX0000294,PER202408
TX0000295,PER202408
TX0000296,PER202408
TX0000297,PER202408
TX0000298,PER202408
TX0000299,PER202408
TX0000300,PER202408
TX0000301,PER202408
TX0000302,PER202408
TX0000303,PER202408
TX0000304,PER202408
TX0000305,PER202408
TX0000306,PER202408
TX0000307,PER202408
TX0000308,PER202408
TX0000309,PER202408
TX0000310,PER202408
TX0000311,PER202408
TX0000312,PER202408
TX0000313,PER202408
TX0000314,PER202408
TX0000315,PER202408
TX0000316,PER202408
TX0000317,PER202408
TX0000318,PER202408
TX0000319,PER202408
TX0000320,PER202408
TX0000321,PER202408
TX0000322,PER202408
TX0000323,PER202408
TX0000324,PER202408
TX0000325,PER202408
TX0000326,PER202408
TX0000327,PER202408
TX0000328,PER202408
TX0000329,PER202408
TX0000330,PER202408
TX0000331,PER202408
TX0000332,PER202408
TX0000333,PER202408
TX0000334,PER202408
TX0000335,PER202408
TX0000336,PER202408
TX0000337,PER202408
TX0000338,PER202408
TX0000339,PER202408
TX0000340,PER202408
TX0000341,PER202408
TX0000342,PER202408
TX0000343,PER202408
TX0000344,PER202408
TX0000345,PER202408
TX0000346,PER202408
TX0000347,PER202408
TX0000348,PER202408
TX0000349,PER202408
TX0000350,PER202408
TX0000351,PER202408
TX0000352,PER202408
TX0000353,PER202408
TX0000354,PER202408
TX0000355,PER202408
TX0000356,PER202408
TX0000357,PER202408
TX0000358,PER202408
TX0000359,PER202408
TX0000360,PER202408
TX0000361,PER202408
TX0000362,PER202408
TX0000363,PER202408
TX0000364,PER202408
TX0000365,PER202408
TX0000366,PER202408
TX0000367,PER202408
TX0000368,PER202408
TX0000369,PER202408
TX0000370,PER202408
TX0000371,PER202408
TX0000372,PER202408
TX0000373,PER202408
TX0000374,PER202408
TX0000375,PER202408
TX0000376,PER202408
TX0000377,PER202408
TX0000378,PER202408
TX0000379,PER202408
TX0000380,PER202408
TX0000381,PER202408
TX0000382,PER202408
TX0000383,PER202408
TX0000384,PER202408
TX0000385,PER202408
TX0000386,PER202408
TX0000387,PER202408
TX0000388,PER202408
TX0000389,PER202408
TX0000390,PER202408
TX0000391,PER202408
TX0000392,PER202408
TX0000393,PER202408
TX0000394,PER202408
TX0000395,PER202408
TX0000396,PER202408
TX0000397,PER202408
TX0000398,PER202408
TX0000399,PER202408
TX0000400,PER202408
TX0000401,PER202408
TX0000402,PER202408
TX0000403,PER202408
TX0000404,PER202408
TX0000405,PER202408
TX0000406,PER202408
TX0000407,PER202408
TX0000408,PER202408
TX0000409,PER202408
TX0000410,PER202408
TX0000411,PER202408
TX0000412,PER202408
TX0000413,PER202408
TX0000414,PER202408
TX0000415,PER202408
TX0000416,PER202408
TX0000417,PER202408
TX0000418,PER202408
TX0000419,PER202408
TX0000420,PER202408
TX0000421,PER202409
TX0000422,PER202409
TX0000423,PER202409
TX0000424,PER202409
TX0000425,PER202409
TX0000426,PER202409
TX0000427,PER202409
TX0000428,PER202409
TX0000429,PER202409
TX0000430,PER202409
TX0000431,PER202409
TX0000432,PER202409
TX0000433,PER202409
TX0000434,PER202409
TX0000435,PER202409
TX0000436,PER202409
TX0000437,PER202409
TX0000438,PER202409
TX0000439,PER202409
TX0000440,PER202409
TX0000441,PER202409
TX0000442,PER202409
TX0000443,PER202409
TX0000444,PER202409
TX0000445,PER202409
TX0000446,PER202409
TX0000447,PER202409
TX0000448,PER202409
TX0000449,PER202409
TX0000450,PER202409
TX0000451,PER202409
TX0000452,PER202409
TX0000453,PER202409
TX0000454,PER202409
TX0000455,PER202409
TX0000456,PER202409
TX0000457,PER202409
TX0000458,PER202409
TX0000459,PER202409
TX0000460,PER202409
TX0000461,PER202409
TX0000462,PER202409
TX0000463,PER202409
TX0000464,PER202409
TX0000465,PER202409
TX0000466,PER202409
TX0000467,PER202409
TX0000468,PER202409
TX0000469,PER202409
TX0000470,PER202409
TX0000471,PER202409
TX0000472,PER202409
TX0000473,PER202409
TX0000474,PER202409
TX0000475,PER202409
TX0000476,PER202409
TX0000477,PER202409
TX0000478,PER202409
TX0000479,PER202409
TX0000480,PER202409
TX0000481,PER202409
TX0000482,PER202409
TX0000483,PER202409
TX0000484,PER202409
TX0000485,PER202409
TX0000486,PER202409
TX0000487,PER202409
TX0000488,PER202409
TX0000489,PER202409
TX0000490,PER202409
TX0000491,PER202409
TX0000492,PER202409
TX0000493,PER202409
TX0000494,PER202409
TX0000495,PER202409
TX0000496,PER202409
TX0000497,PER202409
TX0000498,PER202409
TX0000499,PER202409
TX0000500,PER202409
TX0000501,PER202409
TX0000502,PER202409
TX0000503,PER202409
TX0000504,PER202409
TX0000505,PER202409
TX0000506,PER202409
TX0000507,PER202409
TX0000508,PER202409
TX0000509,PER202409
TX0000510,PER202409
TX0000511,PER202409
TX0000512,PER202409
TX0000513,PER202409
TX0000514,PER202409
TX0000515,PER202409
TX0000516,PER202409
TX0000517,PER202409
TX0000518,PER202409
TX0000519,PER202409
TX0000520,PER202409
TX0000521,PER202409
TX0000522,PER202409
TX0000523,PER202409
TX0000524,PER202409
TX0000525,PER202409
TX0000526,PER202409
TX0000527,PER202409
TX0000528,PER202409
TX0000529,PER202409
TX0000530,PER202409
TX0000531,PER202409
TX0000532,PER202409
TX0000533,PER202409
TX0000534,PER202409
TX0000535,PER202409
TX0000536,PER202409
TX0000537,PER202409
TX0000538,PER202409
TX0000539,PER202409
TX0000540,PER202409
TX0000541,PER202409
TX0000542,PER202409
TX0000543,PER202409
TX0000544,PER202409
TX0000545,PER202409
TX0000546,PER202409
TX0000547,PER202409
TX0000548,PER202409
TX0000549,PER202409
TX0000550,PER202409
TX0000551,PER202409
TX0000552,PER202409
TX0000553,PER202409
TX0000554,PER202409
TX0000555,PER202409
TX0000556,PER202409
TX0000557,PER202409
TX0000558,PER202409
TX0000559,PER202409
TX0000560,PER202409
TX0000561,PER202409
TX0000562,PER202409
TX0000563,PER202409
TX0000564,PER202409
TX0000565,PER202409
TX0000566,PER202409
TX0000567,PER202409
TX0000568,PER202409
TX0000569,PER202409
TX0000570,PER202409
TX0000571,PER202409
TX0000572,PER202409
TX0000573,PER202409
TX0000574,PER202409
TX0000575,PER202409
TX0000576,PER202409
TX0000577,PER202409
TX0000578,PER202409
TX0000579,PER202409
TX0000580,PER202409
TX0000581,PER202409
TX0000582,PER202409
TX0000583,PER202409
TX0000584,PER202409
TX0000585,PER202409
TX0000586,PER202409
TX0000587,PER202409
TX0000588,PER202409
TX0000589,PER202409
TX0000590,PER202409
TX0000591,PER202409
TX0000592,PER202409
TX0000593,PER202409
TX0000594,PER202409
TX0000595,PER202409
TX0000596,PER202409
TX0000597,PER202409
TX0000598,PER202409
TX0000599,PER202409
TX0000600,PER202409
TX0000601,PER202409
TX0000602,PER202409
TX0000603,PER202409
TX0000604,PER202409
TX0000605,PER202409
TX0000606,PER202409
TX0000607,PER202409
TX0000608,PER202409
TX0000609,PER202409
TX0000610,PER202409
TX0000611,PER202409
TX0000612,PER202409
TX0000613,PER202409
TX0000614,PER202409
TX0000615,PER202409
TX0000616,PER202409
TX0000617,PER202409
TX0000618,PER202409
TX0000619,PER202409
TX0000620,PER202409
TX0000621,PER202409
TX0000622,PER202409
TX0000623,PER202409
TX0000624,PER202409
TX0000625,PER202409
TX0000626,PER202409
TX0000627,PER202409
TX0000628,PER202409
TX0000629,PER202409
TX0000630,PER202409
TX0000631,PER202409
TX0000632,PER202409
TX0000633,PER202409
TX0000634,PER202409
TX0000635,PER202409
TX0000636,PER202409
TX0000637,PER202409
TX0000638,PER202409
TX0000639,PER202409
TX0000640,PER202409
TX0000641,PER202409
TX0000642,PER202409
TX0000643,PER202409
TX0000644,PER202409
TX0000645,PER202409
TX0000646,PER202409
TX0000647,PER202409
TX0000648,PER202409
TX0000649,PER202409
TX0000650,PER202409
TX0000651,PER202409
TX0000652,PER202409
TX0000653,PER202409
TX0000654,PER202409
TX0000655,PER202409
TX0000656,PER202409
TX0000657,PER202409
TX0000658,PER202409
TX0000659,PER202409
TX0000660,PER202409
TX0000661,PER202409
TX0000662,PER202409
TX0000663,PER202409
TX0000664,PER202409
TX0000665,PER202409
TX0000666,PER202409
TX0000667,PER202409
TX0000668,PER202409
TX0000669,PER202409
TX0000670,PER202409
TX0000671,PER202409
TX0000672,PER202409
TX0000673,PER202409
TX0000674,PER202409
TX0000675,PER202409
TX0000676,PER202409
TX0000677,PER202409
TX0000678,PER202409
TX0000679,PER202409
TX0000680,PER202409
TX0000681,PER202409
TX0000682,PER202409
TX0000683,PER202409
TX0000684,PER202409
TX0000685,PER202409
TX0000686,PER202409
TX0000687,PER202409
TX0000688,PER202409
TX0000689,PER202409
TX0000690,PER202409
TX0000691,PER202409
TX0000692,PER202409
TX0000693,PER202409
TX0000694,PER202409
TX0000695,PER202409
TX0000696,PER202409
TX0000697,PER202409
TX0000698,PER202409
TX0000699,PER202409
TX0000700,PER202409
TX0000701,PER202409
TX0000702,PER202409
TX0000703,PER202409
TX0000704,PER202409
TX0000705,PER202409
TX0000706,PER202409
TX0000707,PER202409
TX0000708,PER202409
TX0000709,PER202409
TX0000710,PER202409
TX0000711,PER202409
TX0000712,PER202409
TX0000713,PER202409
TX0000714,PER202409
TX0000715,PER202409
TX0000716,PER202409
TX0000717,PER202409
TX0000718,PER202409
TX0000719,PER202409
TX0000720,PER202409
TX0000721,PER202409
TX0000722,PER202409
TX0000723,PER202409
TX0000724,PER202409
TX0000725,PER202409
TX0000726,PER202409
TX0000727,PER202409
TX0000728,PER202409
TX0000729,PER202409
TX0000730,PER202409
TX0000731,PER202409
TX0000732,PER202409
TX0000733,PER202409
TX0000734,PER202409
TX0000735,PER202409
TX0000736,PER202409
TX0000737,PER202409
TX0000738,PER202409
TX0000739,PER202409
TX0000740,PER202409
TX0000741,PER202409
TX0000742,PER202409
TX0000743,PER202409
TX0000744,PER202409
TX0000745,PER202409
TX0000746,PER202409
TX0000747,PER202409
TX0000748,PER202409
TX0000749,PER202409
TX0000750,PER202409
TX0000751,PER202409
TX0000752,PER202409
TX0000753,PER202409
TX0000754,PER202409
TX0000755,PER202409
TX0000756,PER202409
TX0000757,PER202409
TX0000758,PER202409
TX0000759,PER202409
TX0000760,PER202409
TX0000761,PER202409
TX0000762,PER202409
TX0000763,PER202409
TX0000764,PER202409
TX0000765,PER202409
TX0000766,PER202409
TX0000767,PER202409
TX0000768,PER202409
TX0000769,PER202409
TX0000770,PER202409
TX0000771,PER202409
TX0000772,PER202409
TX0000773,PER202409
TX0000774,PER202409
TX0000775,PER202409
TX0000776,PER202409
TX0000777,PER202409
TX0000778,PER202409
TX0000779,PER202409
TX0000780,PER202409
TX0000781,PER202409
TX0000782,PER202409
TX0000783,PER202409
TX0000784,PER202409
TX0000785,PER202409
TX0000786,PER202409
TX0000787,PER202409
TX0000788,PER202409
TX0000789,PER202409
TX0000790,PER202409
TX0000791,PER202409
TX0000792,PER202409
TX0000793,PER202409
TX0000794,PER202409
TX0000795,PER202409
TX0000796,PER202409
TX0000797,PER202409
TX0000798,PER202409
TX0000799,PER202409
TX0000800,PER202409
TX0000801,PER202409
TX0000802,PER202409
TX0000803,PER202409
TX0000804,PER202409
TX0000805,PER202409
TX0000806,PER202409
TX0000807,PER202409
TX0000808,PER202409
TX0000809,PER202409
TX0000810,PER202409
TX0000811,PER202409
TX0000812,PER202409
TX0000813,PER202409
TX0000814,PER202409
TX0000815,PER202409
TX0000816,PER202409
TX0000817,PER202409
TX0000818,PER202409
TX0000819,PER202409
TX0000820,PER202409
TX0000821,PER202409
TX0000822,PER202409
TX0000823,PER202409
TX0000824,PER202409
TX0000825,PER202409
TX0000826,PER202409
TX0000827,PER202409
TX0000828,PER202409
TX0000829,PER202409
TX0000830,PER202409
TX0000831,PER202409
TX0000832,PER202409
TX0000833,PER202409
TX0000834,PER202409
TX0000835,PER202409
TX0000836,PER202409
TX0000837,PER202409
TX0000838,PER202409
TX0000839,PER202409
TX0000840,PER202409
TX0000841,PER202410
TX0000842,PER202410
TX0000843,PER202410
TX0000844,PER202410
TX0000845,PER202410
TX0000846,PER202410
TX0000847,PER202410
TX0000848,PER202410
TX0000849,PER202410
TX0000850,PER202410
TX0000851,PER202410
TX0000852,PER202410
TX0000853,PER202410
TX0000854,PER202410
TX0000855,PER202410
TX0000856,PER202410
TX0000857,PER202410
TX0000858,PER202410
TX0000859,PER202410
TX0000860,PER202410
TX0000861,PER202410
TX0000862,PER202410
TX0000863,PER202410
TX0000864,PER202410
TX0000865,PER202410
TX0000866,PER202410
TX0000867,PER202410
TX0000868,PER202410
TX0000869,PER202410
TX0000870,PER202410
TX0000871,PER202410
TX0000872,PER202410
TX0000873,PER202410
TX0000874,PER202410
TX0000875,PER202410
TX0000876,PER202410
TX0000877,PER202410
TX0000878,PER202410
TX0000879,PER202410
TX0000880,PER202410
TX0000881,PER202410
TX0000882,PER202410
TX0000883,PER202410
TX0000884,PER202410
TX0000885,PER202410
TX0000886,PER202410
TX0000887,PER202410
TX0000888,PER202410
TX0000889,PER202410
TX0000890,PER202410
TX0000891,PER202410
TX0000892,PER202410
TX0000893,PER202410
TX0000894,PER202410
TX0000895,PER202410
TX0000896,PER202410
TX0000897,PER202410
TX0000898,PER202410
TX0000899,PER202410
TX0000900,PER202410
TX0000901,PER202410
TX0000902,PER202410
TX0000903,PER202410
TX0000904,PER202410
TX0000905,PER202410
TX0000906,PER202410
TX0000907,PER202410
TX0000908,PER202410
TX0000909,PER202410
TX0000910,PER202410
TX0000911,PER202410
TX0000912,PER202410
TX0000913,PER202410
TX0000914,PER202410
TX0000915,PER202410
TX0000916,PER202410
TX0000917,PER202410
TX0000918,PER202410
TX0000919,PER202410
TX0000920,PER202410
TX0000921,PER202410
TX0000922,PER202410
TX0000923,PER202410
TX0000924,PER202410
