from_id,to_id
TX0000001,AC00001
TX0000002,AC00004
TX0000003,AC00005
TX0000004,AC00008
TX0000005,AC00009
TX0000006,AC00012
TX0000007,AC00001
TX0000008,AC00013
TX0000009,AC00016
TX0000010,AC00017
TX0000011,AC00020
TX0000012,AC00021
TX0000013,AC00024
TX0000014,AC00013
TX0000015,AC00025
TX0000016,AC00028
TX0000017,AC00029
TX0000018,AC00032
TX0000019,AC00033
TX0000020,AC00036
TX0000021,AC00025
TX0000022,AC00037
TX0000023,AC00040
TX0000024,AC00041
TX0000025,AC00044
TX0000026,AC00045
TX0000027,AC00048
TX0000028,AC00037
TX0000029,AC00049
TX0000030,AC00052
TX0000031,AC00053
TX0000032,AC00056
TX0000033,AC00057
TX0000034,AC00060
TX0000035,AC00049
TX0000036,AC00061
TX0000037,AC00064
TX0000038,AC00065
TX0000039,AC00068
TX0000040,AC00069
TX0000041,AC00072
TX0000042,AC00061
TX0000043,AC00073
TX0000044,AC00076
TX0000045,AC00077
TX0000046,AC00080
TX0000047,AC00081
TX0000048,AC00084
TX0000049,AC00073
TX0000050,AC00085
TX0000051,AC00088
TX0000052,AC00089
TX0000053,AC00092
TX0000054,AC00093
TX0000055,AC00096
TX0000056,AC00085
TX0000057,AC00097
TX0000058,AC00100
TX0000059,AC00101
TX0000060,AC00104
TX0000061,AC00105
TX0000062,AC00108
TX0000063,AC00097
TX0000064,AC00109
TX0000065,AC00112
TX0000066,AC00113
TX0000067,AC00116
TX0000068,AC00117
TX0000069,AC00120
TX0000070,AC00109
TX0000071,AC00121
TX0000072,AC00124
TX0000073,AC00125
TX0000074,AC00128
TX0000075,AC00129
TX0000076,AC00132
TX0000077,AC00121
TX0000078,AC00133
TX0000079,AC00136
TX0000080,AC00137
TX0000081,AC00140
TX0000082,AC00141
TX0000083,AC00144
TX0000084,AC00133
TX0000085,AC00145
TX0000086,AC00148
TX0000087,AC00149
TX0000088,AC00152
TX0000089,AC00153
TX0000090,AC00156
TX0000091,AC00145
TX0000092,AC00157
TX0000093,AC00160
TX0000094,AC00161
TX0000095,AC00164
TX0000096,AC00165
TX0000097,AC00168
TX0000098,AC00157
TX0000099,AC00169
TX0000100,AC00172
TX0000101,AC00173
TX0000102,AC00176
TX0000103,AC00177
TX0000104,AC00180
TX0000105,AC00169
TX0000106,AC00181
TX0000107,AC00184
TX0000108,AC00185
TX0000109,AC00188
TX0000110,AC00189
TX0000111,AC00192
TX0000112,AC00181
TX0000113,AC00193
TX0000114,AC00196
TX0000115,AC00197
TX0000116,AC00200
TX0000117,AC00201
TX0000118,AC00204
TX0000119,AC00193
TX0000120,AC00205
TX0000121,AC00208
TX0000122,AC00209
TX0000123,AC00212
TX0000124,AC00213
TX0000125,AC00216
TX0000126,AC00205
TX0000127,AC00217
TX0000128,AC00220
TX0000129,AC00221
TX0000130,AC00224
TX0000131,AC00225
TX0000132,AC00228
TX0000133,AC00217
TX0000134,AC00229
TX0000135,AC00232
TX0000136,AC00233
TX0000137,AC00236
TX0000138,AC00237
TX0000139,AC00240
TX0000140,AC00229
TX0000141,AC00241
TX0000142,AC00244
TX0000143,AC00245
TX0000144,AC00248
TX0000145,AC00249
TX0000146,AC00252
TX0000147,AC00241
TX0000148,AC00253
TX0000149,AC00256
TX0000150,AC00257
TX0000151,AC00260
TX0000152,AC00261
TX0000153,AC00264
TX0000154,AC00253
TX0000155,AC00265
TX0000156,AC00268
TX0000157,AC00269
TX0000158,AC00272
TX0000159,AC00273
TX0000160,AC00276
TX0000161,AC00265
TX0000162,AC00277
TX0000163,AC00280
TX0000164,AC00281
TX0000165,AC00284
TX0000166,AC00285
TX0000167,AC00288
TX0000168,AC00277
TX0000169,AC00289
TX0000170,AC00292
TX0000171,AC00293
TX0000172,AC00296
TX0000173,AC00297
TX0000174,AC00300
TX0000175,AC00289
TX0000176,AC00301
TX0000177,AC00304
TX0000178,AC00305
TX0000179,AC00308
TX0000180,AC00309
TX0000181,AC00312
TX0000182,AC00301
TX0000183,AC00313
TX0000184,AC00316
TX0000185,AC00317
TX0000186,AC00320
TX0000187,AC00321
TX0000188,AC00324
TX0000189,AC00313
TX0000190,AC00325
TX0000191,AC00328
TX0000192,AC00329
TX0000193,AC00332
TX0000194,AC00333
TX0000195,AC00336
TX0000196,AC00325
TX0000197,AC00337
TX0000198,AC00340
TX0000199,AC00341
TX0000200,AC00344
TX0000201,AC00345
TX0000202,AC00348
TX0000203,AC00337
TX0000204,AC00349
TX0000205,AC00352
TX0000206,AC00353
TX0000207,AC00356
TX0000208,AC00357
